"";"Methode";"alpha";"beta";"sigma2"
"406";"Moy";0,00830211680691293;0,796685117996379;0,0723736576012475
"407";"Reg. Lin.";-0,0103056180474116;1,0303965402737;0,0499028490748221
"408";"Reg. Lin. Sto.";-0,0152919577761303;1,0286487789965;0,196062750466875
"409";"EM";-0,0285972262082076;1,03926146711214;0,123570263509786
"410";"Boot";-0,101808675944905;1,03151058689056;0,16311887540839
"411";"Post";-0,0767771619128428;1,03503395515437;0,203520945410548
"412";"Moy";-0,0515187558740386;0,709653302762187;0,0686994973908708
"413";"Reg. Lin.";-0,0742217918132124;1,04207527345169;0,0425039598591887
"414";"Reg. Lin. Sto.";-0,0763750370707035;1,0460576564771;0,138690499805957
"415";"EM";-0,0418466179274508;1,00131397011449;0,15913976407549
"416";"Boot";-0,101847912689303;1,00511736862838;0,215501218622021
"417";"Post";-0,101819324368166;0,996577216755254;0,260353529826721
"418";"Moy";-0,164876886671062;0,592720386231916;0,0793044525262685
"419";"Reg. Lin.";-0,108624981093072;0,995756776895328;0,0482313716201576
"420";"Reg. Lin. Sto.";-0,101753781626693;1,00129353580446;0,182019607739866
